author_id,speaker_name,speaker_occupation,speaker_description
2604,Mark Modesti,Professional troublemaker,"Mark Modesti uses his expertise from working within UPS’s walls to improve supply chains within other companies. His professional responsibility to shake up organizational systems puts him in a constant collision course with the undeniably human resistance to change. Through this, Modesti has learned time and time again that the greatest value always comes after the greatest trials, tribulations -- and trouble."
2605,Peter Harris,Sustainability innovator,"As the director of sustainability for UPS’s businesses in Europe, Peter Harris pursues innovations that turn risks into opportunities. He has served as UPS's UK automotive director, UK industrial engineering director and as a senior manager in corporate compliance. He is also a director of a small company providing transport services to the UK’s National Health Service."
2606,Regina Hartley,Human resources expert,Regina Hartley thinks that those who don't always look good on paper may be just the person you need to hire.
2607,Scott Szwast,Globalization strategist,"With a palpable passion for the unpredictability of global trade, Scott Szwast has spent the last 25 years supporting international transportation. For 10 of them, he worked with an ocean freight line, helping to import and export goods. The last 15 years he has spent with UPS, deep-diving into distribution, transportation, technology, trade compliance and the countless other aspects of cross-border trade. Today, he is a marketing director for UPS, where he works closely with companies expanding into new markets to understand the particular needs of growing organizations and to develop the solutions to support them."
2608,Yami Joshi,Organizational specialist,"Yami Joshi is an organizational development specialist at UPS, where she develops and implements organizational strategies to improve the employee experience. Deeply involved in UPS’s Women’s Leadership Development Group, Joshi dedicates herself to learning how she can grow leadership capabilities in others. Outside of her work and studies, she's a certified Indian classical dancer, specializing in the dance form Bharatanatyam, which she has taught to students between the ages of 5 and 12."
2613,Mandy Len Catron,Writer,Mandy Len Catron explores love stories.
2645,Scott Dinsmore,Writer,"Scott Dinsmore founded Live Your Legend, a career and connection platform to inspire people to find their passion."
2655,Ole Scheeren,Architect,Ole Scheeren designs buildings that generate both functional and social spaces.
2657,Hilary Cottam,Innovator and social entrepreneur,Hilary Cottam wants to redesign the welfare state using the power of relationships.
2658,Anders Fjellberg,Journalist,"For the Norwegian newspaper Dagbladet, Anders Fjellberg investigated the story of ""The Wetsuitman,"" along with his co-author, photographer Tomm Christiansen."
2660,Daniel Levitin,Neuroscientist,Daniel Levitin incorporates findings from neuroscience into everyday life.
2663,Jennifer Doudna,Biologist,Jennifer Doudna was part of inventing a potentially world-changing genetic technology: the gene editing technology CRISPR-Cas9.
2665,Ann Morgan,Writer,Ann Morgan challenged herself to read a book from every country in the world.
2666,Mathias Jud,Artist,"The work of artists Mathias Jud and Christoph Wachter questions the limits of our communication possibilities and, therefore, of our identity."
2667,Francesco Sauro,Speleologist,"Francesco Sauro studies caves and other karst features, and his research takes him places no one has ever been before."
2671,Mac Stone,Photographer,"Florida-based photographer Mac Stone specializes in documenting the Everglades, an area he prizes for its wildlife and flora."
2672,Martin Pistorius,Author,"At age 12, Martin Pistorius fell into a coma, and spent 13 years locked inside his body, unable to communicate -- until a caregiver noticed his eyes responded to her. His book ""Ghost Boy"" tells his story."
2673,Emilie Wapnick,Writer and community builder,"Emilie Wapnick celebrates the ""multipotentialite"" -- those of us with many interests, many jobs over a lifetime, and many interlocking potentials."
2676,Maurice Conti,Designer,"Maurice Conti explores new partnerships between technology, nature and humanity."
2678,Thomas Peschak,Conservation photographer,Thomas Peschak strives to merge photojournalism and cutting edge science to create powerful media projects that tackle critical marine conservation issues.
2681,Mike Velings,Entrepreneur and conservationist,Mike Velings understands the potential for business to create durable solutions to complex world problems.
2682,Jason deCaires Taylor,Sculptor,"Jason deCaires Taylor's underwater installations offer views of another world, where the artistic efforts of man meet the vivifying power of nature."
2684,David Gruber,Marine biologist and President of Project CETI,David Gruber and his team take a delicate approach to understanding whales and other life forms.
2686,Paul Greenberg,Author,"Paul Greenberg researches and writes about fish, aquaculture and the future of the ocean."
2689,Anote Tong,President of the Republic of Kiribati,Anote Tong has built worldwide awareness of the potentially devastating impacts of climate change.
2691,Josh Luber,Sneaker data expert,"Josh Luber is the founder of Campless, a company that collects, analyzes and publishes data and derived insight related to collectible sneakers and the industry."
2692,Jeannette Garcia,Plastics advocate,"Dr. Jeannette Garcia designs new polymers through sustainable methods, with potential usage as structural composites, cargo carriers, adhesives, sealants and 3D printing. Garcia's team also uses discarded bottles to create materials, and they designed a low-cost, portable detection system for water toxins. In addition, she researches energy storage for automotive batteries and has interests in chemistries for improving the environment and human health."
2693,Jerry Chow,Chief Qubit Engineer,"Dr. Jerry M. Chow, Manager of Experimental Quantum Computing at IBM Thomas J. Watson Research Center, is IBM’s primary investigator for IARPA’s Multi-Qubit Coherent Operations. Jerry graduated magna cum laude from Harvard with a B.A. in physics and an M.S. in applied mathematics and from Yale with an M.S. and Ph.D. in physics. He received an NSF Graduate Research Fellowship for his quantum processor with superconducting qubits work."
2695,Vinith Misra,Chief Computer Humorist,"Vinith Misra of IBM’s Watson Group boasts research interests from knowledge graph prediction and The Lord of the Rings analytics to data-driven compression and theoretic models. Recipient of the Stanford Graduate Fellowship, National Science and Defense Graduate Fellowship and the Massachusetts Institute of Technology’s David Adler Memorial Thesis Prize, he is a member of Forbes’ “30 Under 30” (2015) and consults on HBO’s ""Silicon Valley."" Vinith holds a Ph.D. from Stanford’s Information Systems Lab and an S.B. and M.Eng. from MIT."
2696,Jared Kleinert,Millennial empowerment entrepreneur,"Jared Kleinert is co-author of ""2 Billion Under 20"" and the founder of Kleinert Ventures, a marketing consulting firm helping leaders and companies market, recruit and retain millennials. He was a team member at 15Five and Learnist, and hesuccessfully started (and spectacularly failed at) two startups as a teenager."
2697,Chieko Asakawa,Visionary inventor,Dr. Chieko Asakawa invents technology to make the visually impaired more independent.
2698,Eric Mibuari,Computer scientist,"Eric Mibuari studies the blockchain at IBM Research and is the founder of the Laare Community Technology Centre in Meru, Kenya."
2699,Lisa-Marie Johnston,Musician,"Lisa Marie Johnston is a singer and songwriter from Oakland, CA. She blends country, Americana and blues to a “stomp and groove” style."
2701,Robert Prill,Bacteria enthusiast,"Dr. Robert Prill is a Computational Biologist at the IBM Almaden Research Center in California. He is an expert at combining genomic, phenotypic and metadata into integrative analyses evoking concepts from systems biology, machine learning, data science and visualization. Receiving a Ph.D. in Biomedical Engineering from the Johns Hopkins School of Medicine (2008), Prill currently leads an interdisciplinary team of engineers and scientists in pursuit of microbial biomarkers for food safety."
2702,Maria Dubovitskaya,Privacy preservationist,"Dr. Maria Dubovitskaya is a staff member at IBM Research Zurich designing and applying cryptographic protocols for privacy protection. She holds a Ph.D. in cryptography and privacy from ETH Zurich. She promotes science and tech for young girls with IBM EX.I.T.E. (Exploring Interests in Technology and Engineering), is a founder and co-leader of IBM Technical Excellence Council R/CIS."
2703,Shoel Perelman,Rebel/Intrapreneur,"Shoel Perelman is the Vice President of Development for IBM’s Customer Engagement Solutions. His team -- spanning North America and Asia -- pioneers innovations converging at ecommerce, digital marketing, analytics and merchandising. Former Development Director for IBM’s Smarter Cities, he partnered with IBM research and launched software optimizing traffic flows, water usage and cities’ public safety response."
2704,Lloyd Treinish,Weather guru,"Lloyd A. Treinish, leader of the global environmental science team at IBM Research, is an author of 60+ technical articles and recipient of five patents. In his role at the IBM Thomas J. Watson Research Center, Lloyd oversees research, development and operations with clients on five continents. He pioneered environmental business operations services including weather, water, energy, climate and sustainability. Treinish is considered the father of Deep Thunder for advanced modelling for weather-sensitive decision-making."
2705,Kala Fleming,Water mapper,"Dr. Kala Fleming, scientist and thought leader on water management, is an advisor for the government and private sector in Africa and SE Asia. Over the last 10 years, she worked with underserved communities in the U.S., Caribbean and West Africa as a consultant providing solutions focused on evolving communities. She leads a team of scientists at IBM Research – Africa on smarter planet solutions for water, agriculture and healthcare."
2706,Aaron Horowitz,Health + Play Engineer,"Aaron Horowitz is a maker. From sculptures to business, he is fascinated with taking ideas from concept to reality. He is co-founder and CEO of Sproutel and creator of Jerry the Bear -- a smart toy for health and wellness education. He holds a degree in Mechatronics and User Interaction Design from Northwestern University and serves on Design for America’s advisory board. When unplugged, Aaron is carving stone or surfing."
2707,Nir Eyal,Tech addict interventionist,"Nir Eyal writes, consults and teaches on the intersection of psychology, technology and business."
2708,Alyson McGregor,Women's health pioneer,"Alyson McGregor studies women's health, especially as it relates to emergency care -- when time-sensitive, life-or-death decisions are made using drugs and treatments mainly tested on men."
2709,Tea Uglow,Designer,"Tea Uglow leads part of Google's Creative Lab specializing in work with cultural organizations, artists, writers and producers on experiments using digital technology at the boundaries of traditional cultural practice."
2710,Stephen Lawrence,Machine kearning researcher,"Head of Quantextual Research at State Street Global Exchange, Stephen Lawrence has built his career around helping people understand research quickly and efficiently. At State Street, he oversees the development and execution of research aggregation by blending machine learning and big data with the contextual knowledge of human insight and oversight. His team’s “Idea Lab” helps summarize a wide range of research, including academic and sell-side research."
2711,Suzanne Duncan,Story skeptic,"Suzanne Duncan is a senior vice president and the global head of research for State Street’s Center for Applied Research. She is passionate about creating and sharing new ideas, and she has won multiple awards for groundbreaking research and delivery."
2712,Sahil Sethi,Conscious Capitalist,"Born in India and raised across three continents, Sahil Sethi believes capitalism should be a force for good and business should be done for the betterment of society. He is also passionate about getting charities and social organizations plugged into the enterprise economy to make them more sustainable. He works as a Defined Contribution Investment Strategist at State Street Global Advisors in London, helping clients deliver better defined contribution plans for their members."
2713,Siawn Ou,Movement Enthusiast,Siawn Ou works on the Fund Services Custody team in State Street Sacramento and is the founder of the group Move Well on Collaborate.
2714,Audrey Choi,Sustainable investment expert,Audrey Choi is a thought leader on how finance can be harnessed to address public policy challenges.
2715,Katherine Lucas,Extrovert Advocate,"Whether you are an introvert or extrovert, diverse personalities are often a company’s biggest asset. But sometimes at work there's a struggle to balance personality with “executive presence.” Katherine Lucas is looking at solutions. Head of Marketing for North America at State Street, Lucas works closely with clients and internal teams to understand their challenges and provide direction for marketing programs."
2716, B.E.A.T. NYC,Musicians,"Bridging Education and Art Together (B.E.A.T.) transforms the lives of youth in under-served areas through music, dance and writing programs which include beatboxing, B-boying and B-girling (breakdance), music production and composition, and creative writing."
2718,Suzanne Case,Bibliobanker,"Suzanne Case is a senior vice president at State Street, managing a global operations team that delivers solutions across a breadth of custody, banking and regulatory disciplines. A champion for inclusion, Case helps remove barriers to professional development through coaching, mentoring and company-wide executive sponsorships. She was recognized with State Street’s 2014 Black Professionals Group “Ambassador for Diversity and Inclusion Award” for outstanding leadership."
2719,James Bickerton,DJ Finance Expert,"James Bickerton is a global FX business manager and front-office product designer, working in a close-knit team to deliver trading and sales strategies. He is focused on algorithmic execution for electronic and direct trading risk management and helping to manage the expansion of the European GmbH. Bickerton fuses innovative technologies with front-office trading and sales workflows to bring State Street into the future."
2720,Kirsten Hall,Workplace equity advocate,"Kirsten Hall is a regulatory project manager within Global Markets at State Street, responsible for driving and implementing regulatory change projects. With an interest in the exercise of both social and economic power, Hall is fascinated by the many ways in which language can shape meaning, drive action and construct identities."
2721,Charly Haversat,Anti-perfection crusader,"As a reformed perfectionist and former professional athlete, Charly Haversat began noticing that we spend a lot of our personal and professional lives on being flawless. But her big question is: As we obsess about perfection, are we actually getting anything done? A vice president in Alternative Investment Solutions, she focuses on designing scalable, cost-effective programs that meet both our business needs and our clients’ expectations."
2722,Chris Vogtherr,Knee activist,"Self-proclaimed knee activist Chris Vogtherr has begun the new manvolution -- the ""Free the Knee"" campaign. As a senior relationship manager for SSGA, he seeks to revolutinize the male office attire."
2723,Andreas Ekström,Author and journalist,Andreas Ekström describes the power structures of the digital revolution.
2724,Raymond Wang,Inventor,Raymond Wang won the top prize in the 2015 Intel Science and Engineering Fair for his invention that circulates fresh air on planes and reduces transmission of germs between passengers.
2725,Danit Peleg,Fashion designer,Danit Peleg created the first 3D-printed fashion collection printed entirely using home printers.
2733,Nicole Paris and Ed Cage,Beatboxers,Father-daughter beatboxing duo Nicole Paris and Ed Cage mix beats across generations.
2736,Magda Sayeg,Textile artist,"Magda Sayeg uses handmade, eye-catching yarn bombs to shake up the way we see the world and make us notice things we hadn't seen before."
2743,Jill Heinerth,Cave diver,Jill Heinerth explores underwater caves deep inside the earth.
2748,Guillaume Néry,World champion freediver,"With just one breath, Guillaume Néry can dive to -125m below the water's surface."
2749,Jean-Paul Mari,Journalist and psychologist,Jean-Paul Mari has reported on conflicts in more than three dozen countries.
2750,António Guterres,Secretary-General of the United Nations,António Guterres is at the forefront of fighting the climate emergency and achieving the Sustainable Development Goals.
2751,Jocelyne Bloch,Functional neurosurgeon,Jocelyne Bloch is helping to unlock potential self-healing capacities of the human brain.
2752,Auke Ijspeert,Roboticist,"Auke Ijspeert works at the intersection of robotics, biology and computational neuroscience."
2754,Harry Cliff,Particle physicist,Harry Cliff looks for answers to questions about the origins of the universe and the laws of nature.
2755,Yanis Varoufakis,Economist and professor,"Yanis Varoufakis thinks we need a radically new way of thinking about the economy, finance and capitalism."
2756,Jill Farrant,Professor of molecular and cell biology,Jill Farrant is leading the development of drought-tolerant crops to nourish populations in arid climates.
2759,Elizabeth Lev,Art historian,"Elizabeth Lev's experience studying and teaching art has led her to believe that when we encounter something beautiful, we are made vulnerable and opened to the truth."
2762,Julie Lythcott-Haims,Academic,"Julie Lythcott-Haims speaks and writes on the phenomenon of helicopter parenting and the dangers of a checklisted childhood -- the subject of her book, ""How to Raise an Adult."""
2765,Nadia Lopez,Educator,"Nadia Lopez is the founding principal of Mott Hall Bridges Academy, where she is showing the world how underprivileged communities can beat the odds and create positive institutions that have a global impact."
2767,Dena Simmons,Educator,Dena Simmons believes that creating a safe environment for children is an essential component of education.
2768,Sara Ramirez,Singer,Broadway and TV veteran Sara Ramirez challenges stereotypes even as she beguiles audiences.
2771,Victor Rios,Educator,"Victor Rios seeks to uncover how to best support the lives of young people who experience poverty, stigma and social exclusion."
2773,Sam Kass,Food entrepreneur,Sam Kass's work connects nutrition and education in an effort to make sure future generations thrive.
2775,Samantha Nutt,Doctor,Samantha Nutt envisions a world where no child knows war.
2780,Adam Driver,Actor and Marine Corps veteran,Adam Driver is working to bridge the cultural gap between the United States Armed Forces and the performing arts communities by bringing the best modern American theater to the military.
2783,Jamila Raqib,Peacemaker,"Jamila Raqib works on pragmatic approaches to nonviolent action for activists, human rights organizations, academics and governments globally."
2787,Hector Garcia,Psychologist,Hector A. Garcia has spent his career as a frontline psychologist delivering evidence-based psychotherapies to veterans with posttraumatic stress disorder (PTSD).
2790,Danielle Feinberg,Director of photography,"At Pixar, Danielle Feinberg delights in bending the rules of light to her every whim."
2792,Zaria Forman,Artist,Zaria Forman uses visual art to connect people with the impact of climate change.
2793,James Green,Space physicist,James Green leads NASA's solar system exploration and astrobiology research.
2794,Paula Hammond,Medical researcher and educator,"Paula Hammond, head of MIT's Department of Chemical Engineering, is developing new technologies to kill cancer cells."
2797,Sangeeta Bhatia,Physician,"Sangeeta Bhatia is a cancer researcher, MIT professor and biotech entrepreneur who works to adapt technologies developed in the computer industry for medical innovation."
2798,Jessica Shortall,Strategy consultant,Jessica Shortall is a working mom of two and author of Work. Pump. Repeat: The New Mom's Survival Guide to Breastfeeding and Going Back to Work.
2808,Judson Brewer,Mindful addiction doctor,Psychiatrist and addiction expert Judson Brewer researches mindfulness techniques that effectively help quell cravings of all kinds.
2809,Melissa Walker,Creative arts therapist,Melissa Walker helps military service members recover from traumatic brain injury and mental illness.
2819,Mary Bassett,New York City Health Commissioner,Mary Bassett is fighting what may be the greatest stumbling block to equitable health care in the US: institutional racism.
2832,Russ Altman,Big data techno-­optimist and internist,Russ Altman uses machine learning to better understand adverse effects of medication.
2833,Todd Coleman,Bioelectronics innovator,"UCSD bioengineering professor Todd Coleman integratively spans the disciplines of medical electronics, machine learning and public health."
2834,Sarah Gray,Researchers' dream donator,Sarah Gray found meaning in tragic loss­­ by donating the organs of her newborn son to advance scientific research.
2835,Dorothy Roberts,Professor,"Global scholar, University of Pennsylvania civil rights sociologist and law professor Dorothy Roberts exposes the myths of race-­based medicine."
2837,Vanessa Ruiz,Anatomical artist,Vanessa Ruiz documents the intersection of medical illustration and contemporary art.
2843,Laura Robinson,Ocean scientist,Dr. Laura Robinson's scientific mission is to document and understand the processes that govern climate.
2845,Floyd E. Romesberg,Chemist,"Floyd E. Romesberg uses chemistry, biology and physics to study how biomolecules work and to create biomolecules with new forms and functions."
2852,Robert Waldinger,Psychiatrist,"Robert Waldinger is the Director of the Harvard Study of Adult Development, one of the most comprehensive longitudinal studies in history."
2853,David Sedlak,Civil and environmental engineer,"David Sedlak’s research focuses the long-term goal of developing cost-effective, safe and sustainable systems to manage water resources."
2854,Melvin Russell,Chief of the Community Partnership Division,Melvin Russell is bringing stakeholders together to work toward the common goal of peace and prosperity for Baltimore City.
2855,Sean Follmer,Human-computer interaction researcher and designer,Sean Follmer designs shape-changing and deformable interfaces that take advantage of our natural dexterity and spatial abilities.
2856,Adam Foss,Juvenile justice reformer,"By shifting his focus from incarceration to transforming lives, Adam Foss is reinventing the role of the criminal prosecutor."
2857,Travis Kalanick,Entrepreneur,"As Uber's co-founder and former CEO, Travis Kalanick is disrupting an entrenched industry and reinventing urban transportation."
2858,Stephen Wilkes,Photographer,"By blending up to 100 still photographs into a seamless composite that captures the transition from day to night, Stephen Wilkes reveals the stories hidden in familiar locations."
2859,Alice Rawsthorn,Design critic,Columnist and author Alice Rawsthorn illuminates the mesh of design woven into every aspect of our everyday lives and communities.
2860,Monica Byrne,Author and playwright,"Novelist, writer, culture critic and playwright Monica Byrne thinks that there's an infinite number of stories to tell, and she intends to tell as many as she can."
2861,Norman Lear,Producer,"Writer, producer and free-speech champion Norman Lear defined decades of US popular culture with his groundbreaking TV shows."
2862,Lidia Yuknavitch,Author,"In her acclaimed novels and memoir, author Lidia Yuknavitch navigates the intersection of tragedy and violence to draw new roadmaps for self­-discovery."
2863,Haley Van Dyck,Disrupter,Haley Van Dyck is building a startup at the White House and recruiting world-class technology talent to change how government works for the American people.
2864,Angélica Dass,Artist,"By cataloging every conceivable human skin tone, Angélica Dass illustrates that skin color and race are more complex than they might appear at first glance."
2865,Kenneth Lacovara,Paleontologist,"In his quest to understand the largest dinosaurs to have walked the Earth, Lacovara blends exploration with the latest imaging and modeling techniques from engineering to medicine."
2866,Astro Teller,Entrepreneur,"As ""Captain of Moonshots"" for X, Astro Teller oversees the secret projects that could reshape our lives in coming decades."
2867,Kang Lee,Developmental researcher,Kang Lee has devoted his career to understanding the development of social cognition and behavior.
2868,Rhiannon Giddens,Musician,"With a rich voice and an equally rich sense of history, Rhiannon Giddens animates American folk tradition with her electrifying song interpretations."
2869,Kio Stark,Stranger enthusiast,Kio Stark explores the myriad ways encounters with strangers impact our lives.
2870,Cédric Villani,Mathematician,"Cédric Villani tackles perplexing problems in mathematical physics, analysis and geometry with rigor, wit and a signature personal style."
2871,Siyanda Mohutsiwa,Writer,"When her hashtag #IfAfricaWasABar went viral, Botswana writer Siyanda Mohutsiwa triggered a lighthearted but electrifying discussion of some serious African issues."
2872,Adam Grant,Organizational psychologist,One of Adam Grant’s guiding principles is to argue like he's right and listen like he's wrong.
2873,Alex Kipman,Inventor,"With his latest invention, HoloLens, Kinect creator Alex Kipman has opened a virtual holographic universe for users to explore -- and he may have changed the face of computing forever."
2874,Ameera Harouda,Fixer,Ameera Harouda leads journalists to the harrowing (and often hidden) stories of the Gaza Strip that they couldn’t find on their own.
2875,Andrew Youn,Executive Director and Cofounder of One Acre Fund,"With One Acre Fund, Andrew Youn fights poverty in rural sub-Saharan Africa."
2877,Arthur Brooks,Social scientist,"As president of the American Enterprise Institute, Arthur Brooks is changing the way conservatives think about poverty and opportunity."
2878,Blitz Bazawule,Filmmaker,TED Senior Fellow Blitz Bazawule is a hip-hop artist and filmmaker who tells many-layered stories of an ever-evolving African diaspora.
2879,Brian Little,Personality researcher,Cambridge research professor Brian Little analyzes and redefines the threads of our personalities -- and suggests ways we can transform ourselves.
2880,Casey Gerald,Writer,"In his memoir, ""There Will Be No Miracles Here,"" Casey Gerald reimagines what it means to truly live and succeed in our society."
2881,Dan Gross,Gun-control activist,"As president of the Brady Campaign to Prevent Gun Violence, Dan Gross seeks to cut US gun deaths in half by 2025."
2882,Franz Freudenthal,Pediatric cardiologist,"With his unique inventions (including a device knitted from threads of high-tech alloy by indigenous craftswomen), Franz Freudenthal saves children from congenital heart defects."
2885,Hugh Evans,Humanitarian,"Through the Global Citizen platform, humanitarian Hugh Evans has created an online community of millions of people -- all driven to eradicate extreme poverty by the year 2030."
2886,Jennifer Kahn,Science journalist,"In articles that span the gene-editing abilities of CRISPR, the roots of psychopathic behavior in children, and much more, Jennifer Kahn weaves gripping stories from unlikely sources."
2887,Joe Gebbia,Designer,"As a designer, entrepreneur and the co-founder and Chief Product Officer of Airbnb, Joe Gebbia helped redesign the way the world travels and people connect."
2888,Joseph Ravenell,Physician and men’s health advocate,"Using unexpected channels like the pulpit and the barber’s chair, Dr. Joseph Ravenell delivers basic health care information to an at-risk demographic -- African-American men."
2890,Linus Torvalds,Software engineer,"In 1991, Linus Torvalds shared the Linux kernel with a few computer hobbyists. The operating system they built reshaped the software industry."
2891,R. Luke DuBois,Artist,"R. Luke DuBois weaves information from a multitude of sources into art and music exploring the tensions between algorithms, portraiture and temporal space."
2892,Mary Norris,Copy editor,"As a copy editor for the New Yorker, Mary Norris enforces some of the most authoritative (some might say eccentric) style rules in publishing."
2893,Michael Murphy,Designer,"As co-founder and CEO of MASS Design Group, Michael Murphy envisions and creates  community-centric structures with healing built into their core."
2897,Reshma Saujani,Education activist,"Reshma Saujani, author of ""Brave, Not Perfect"" and founder of Girls Who Code, initiates young women into the tech world. Her goal: one million women in computer science by 2020."
2898,Riccardo Sabatini,Scientist,Riccardo Sabatini applies his expertise in numerical modeling and data to projects ranging from material science to computational genomics and food market predictions.
2899, Silk Road Ensemble,Musical explorers,"With a repertoire spanning classical, improvisational and folk traditions from around the globe, the Silk Road Ensemble spins sounds that celebrate cultural solidarity."
2900,Sō Percussion,Percussion ensemble,Sō Percussion is building a new canon of modern avant-garde percussion music.
2901,Sue Desmond-Hellmann,CEO,Sue Desmond-Hellmann leads the Bill & Melinda Gates Foundation’s mission to establish equity for every person.
2902,Tim Urban,Blogger,"With Wait But Why, Tim Urban demonstrates that complex and long-form writing can stand out in an online wilderness choked with listicles and clickbait."
2903,Tshering Tobgay,Politician,Tshering Tobgay is the president of the People's Democratic Party in Bhutan.
2904,Uri Hasson,Neuroscientist,"Why do great thoughts and stories resonate so strongly with so many people, and how do we communicate them? Using fMRI experiments, Uri Hasson is looking for the answers."
2905,Victoria Pratt,Professor,Judge Victoria Pratt is inspiring a global revolution in criminal justice.
2906,Wanda Diaz Merced,Sonic astrophysicist,"While searching for ways to study stellar radiation without relying on sight, Wanda Diaz Merced has developed a way to represent complex data about our universe as sound."
2911,Anthony Goldbloom,Machine learning expert,Anthony Goldbloom crowdsources solutions to difficult problems using machine learning.
2915,Tom Hulme,Designer,"Tom Hulme's enthusiasm spans physics, design, entrepreneurship and investment."
2919,Christiana Figueres,Stubborn optimist,Christiana Figueres is an internationally recognized leader on climate action and steered the global diplomatic effort that culminated in the 2015 Paris Agreement.
2920,Oscar Schwartz,Writer and poet,Oscar Schwartz's research and writing concerns the influence of digital technology on culture and human interaction.
2921,Tania Simoncelli,Policy expert,Tania Simoncelli advises the White House on science and technology policy.
2922,Linda Liukas,Programmer,"Linda Liukas wants to create a more diverse and colorful world of technology, starting with the poetry of code."
2924,Meron Gribetz,Founder and CEO,"At Meta, Meron Gribetz is leading an effort to produce and sell augmented reality glasses with natural gestural hand recognition."
2925,Tabetha Boyajian,Astronomer,"Tabetha Boyajian is best known for her research on KIC 8462852, a puzzling celestial body that has inspired otherwise sober scientists to brainstorm outlandish hypotheses."
2926,Melati and Isabel Wijsen,Activists,Sisters Melati and Isabel Wijsen are on a mission to ban plastic bags in Bali.
2927,Matthew Williams,Special Olympics International Sargent Shriver Global Messenger,Matthew Williams believes that sport has the power to change lives.
2928,Gregory Heyworth,Textual scientist,Gregory Heyworth uses spectral imaging technology to uncover lost classics that could rewrite history.
2929,Ivan Coyote,Writer,Ivan Coyote believes that a good story can help inspire us to invent a better future.
2930,Celeste Headlee,Writer and radio host,Celeste Headlee's years of interview experience give her a unique perspective on what makes for a good conversation.
2931,Alexander Betts,Social scientist,Alexander Betts explores ways societies might empower refugees rather than pushing them to the margins.
2932,Andrew Pelling,Biomedical researcher,TED Senior Fellow Andrew Pelling uses novel materials for next-generation medical innovations and speculative living technologies of the future.
2935,Keolu Fox,Geneticist,Keolu Fox explores the links between human genetic variation and disease in underrepresented populations.
2937,Sanford Biggers,Conceptual artist,Sanford Biggers creates art that upends traditional narratives about topics ranging from hip hop to Buddhism to American history.
2938,Trevor Timm,Writer,"Trevor Timm is the co-founder and executive director of Freedom of the Press Foundation, a non-profit organization that supports and defends journalism dedicated to transparency and accountability."
2940,Shivani Siroya,Mobile finance entrepreneur,Shivani Siroya created a tool that allows anyone with a cell phone to build a financial track record.
2941,Prosanta Chakrabarty,Ichthyologist,Prosanta Chakrabarty studies fish to help explain the evolution of human beings and our planet.
2942,Jessica Ladd,Founder of Callisto,"Jessica Ladd is using technology to combat sexual assault, empower survivors and advance justice."
2943,Safwat Saleem,Artist,Safwat Saleem uses satire and art to bring to light stories of adversity.
2945,Carrie Nugent,Asteroid hunter,Carrie Nugent is part of a team that uses NASA's NEOWISE telescope to search the skies for and catalog asteroids.
2948,Laura Indolfi,Biomedical entrepreneur,Laura Indolfi is revolutionizing cancer treatment with new technologies including implantable devices for delivering drugs locally to the site of a tumor.
2955,Mileha Soneji,Product designer,Mileha Soneji believes that having empathy and being able to put yourself in another person's shoes is what makes for great design.
2956,Carol Fishman Cohen,CEO and co-founder,Carol Fishman Cohen documents successful transitions back into the workforce after career breaks.
2957,Lisa Nip,Synthetic biologist,Lisa Nip's work focuses on how we can use synthetic biology to allow humanity to explore space
2959,Aditi Gupta,Social entrepreneur,Aditi Gupta uses storytelling and art to educate young girls about menstruation.
2960,Laura Fox,Cultural critic,"BCG's Laura Fox joined as a consultant in 2015. Previously, she spent five years in Qatar, Bangladesh and the US, in marketing, branding and digital strategy roles in consumer finance, museum, government and the NGO sectors. Fox earned her MBA in global strategy from NYU Stern, where she received the school’s Service Award for leadership and the Business & Society Program’s international post-MBA fellowship to China."
2961,Jim Hemerling,Organizational change expert,"BCG's Jim Hemerling practices smart ways to deal with, and even grow from, the unavoidable and accelerating transformations taking place at work."
2962,Oded Shoseyov,Nanobiotechnologist,"Oded Shoseyov’s researches plant molecular biology protein engineering and nanobiotechnology, creating super-performing materials that are could change the way we build our future products."
2963,Naufal Mukumi,Pianist,"Uzbek pianist Naufal Mukumi started playing the piano at the age of seven and performed with the Symphonic Orchestra of Uzbekistan from the age of nine. At 16, he moved to England to study at the Purcell School and then won scholarships to study at the Trinity Laban Conservatoire of Music and Dance. He won the Young Soloist Competition in 2013 and the soloists’ competition at Trinity Laban in 2015."
2964,Min Zhu,Economist,"Min Zhu became the deputy managing director of the International Monetary Fund in 2011. Prior to working at the IMF, Zhu was the deputy governor of the central bank in his native China. Zhu received a PhD and an MA in economics from Johns Hopkins University and an MPA from the Woodrow Wilson School of Public and International Affairs at Princeton University."
2965,Lisa Dyson,Sustainability crusader,Lisa Dyson thinks a new class of crops might help us reinvent agriculture -- and feed the world.
2966,Sandra Rey,Bioluminescence designer,"As the founder and CEO of Glowee, a Paris-based startup, Sandra Rey is betting on a future powered by bioluminescence. Rey has a master’s degree from the French design school Strate College and took social entrepreneurship courses at the business school ESCP Europe."
2967,Sebastian Kraves,Biotech entrepreneur,Sebastian Kraves wants to bring DNA science to more people in new places.
2968,Leila Hoteit,Women's advocate,BCG's Leila Hoteit specializes in human capital and education throughout the Middle East.
2969,Seema Bansal,Education innovator,"BCG's Seema Bansal asks: Can governments actually make a meaningful difference in education? And rapidly? Yes, it turns out."
2970,Neha Narula,Currency futurist,Neha Narula is helping redefine the future of money by researching cryptocurrencies and providing clarity on how digital currencies will transform our world.
